,Unnamed: 0,Links,DateTimeScraped,DateScraped,Price,Featured,Year,Month,WeekNumber,Fortnight
79,79,https://www.rightmove.co.uk/properties/127983980#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1750000,0,2022,11-2022,45,22
80,80,https://www.rightmove.co.uk/properties/127376132#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,620000,0,2022,11-2022,45,22
81,81,https://www.rightmove.co.uk/properties/85623162#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,495000,0,2022,11-2022,45,22
82,82,https://www.rightmove.co.uk/properties/128703287#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,800000,0,2022,11-2022,45,22
83,83,https://www.rightmove.co.uk/properties/128718065#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,925000,0,2022,11-2022,45,22
84,84,https://www.rightmove.co.uk/properties/128704721#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1245000,0,2022,11-2022,45,22
85,85,https://www.rightmove.co.uk/properties/127026017#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1695000,0,2022,11-2022,45,22
86,86,https://www.rightmove.co.uk/properties/128364269#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,850000,0,2022,11-2022,45,22
87,87,https://www.rightmove.co.uk/properties/85928817#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,850000,0,2022,11-2022,45,22
88,88,https://www.rightmove.co.uk/properties/128764049#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,799999,0,2022,11-2022,45,22
89,89,https://www.rightmove.co.uk/properties/128617013#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,475000,0,2022,11-2022,45,22
90,90,https://www.rightmove.co.uk/properties/107238116#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,650000,0,2022,11-2022,45,22
91,91,https://www.rightmove.co.uk/properties/128667950#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,700000,0,2022,11-2022,45,22
92,92,https://www.rightmove.co.uk/properties/85949208#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,900000,0,2022,11-2022,45,22
93,93,https://www.rightmove.co.uk/properties/127854206#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,599950,0,2022,11-2022,45,22
94,94,https://www.rightmove.co.uk/properties/128674982#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,900000,0,2022,11-2022,45,22
95,95,https://www.rightmove.co.uk/properties/128673587#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1050000,0,2022,11-2022,45,22
96,96,https://www.rightmove.co.uk/properties/128580440#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,900000,0,2022,11-2022,45,22
97,97,https://www.rightmove.co.uk/properties/126135725#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0,2022,11-2022,45,22
98,98,https://www.rightmove.co.uk/properties/126725723#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,475000,0,2022,11-2022,45,22
99,99,https://www.rightmove.co.uk/properties/85943136#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,700000,0,2022,11-2022,45,22
100,100,https://www.rightmove.co.uk/properties/128583650#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1250000,0,2022,11-2022,45,22
101,101,https://www.rightmove.co.uk/properties/127958678#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,550000,0,2022,11-2022,45,22
102,102,https://www.rightmove.co.uk/properties/128624051#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,650000,0,2022,11-2022,45,22
103,103,https://www.rightmove.co.uk/properties/128722250#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,900000,0,2022,11-2022,45,22
104,104,https://www.rightmove.co.uk/properties/96643354#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,665000,0,2022,11-2022,45,22
105,105,https://www.rightmove.co.uk/properties/124981340#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,950000,0,2022,11-2022,45,22
106,106,https://www.rightmove.co.uk/properties/125143148#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,625000,0,2022,11-2022,45,22
107,107,https://www.rightmove.co.uk/properties/122444741#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,725000,0,2022,11-2022,45,22
108,108,https://www.rightmove.co.uk/properties/122619953#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,575000,0,2022,11-2022,45,22
109,109,https://www.rightmove.co.uk/properties/128759561#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,975000,0,2022,11-2022,45,22
110,110,https://www.rightmove.co.uk/properties/128767550#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,900000,0,2022,11-2022,45,22
111,111,https://www.rightmove.co.uk/properties/128395313#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1000000,0,2022,11-2022,45,22
112,112,https://www.rightmove.co.uk/properties/125913470#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,515000,0,2022,11-2022,45,22
113,113,https://www.rightmove.co.uk/properties/128662175#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1250000,0,2022,11-2022,45,22
114,114,https://www.rightmove.co.uk/properties/127080413#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,650000,0,2022,11-2022,45,22
115,115,https://www.rightmove.co.uk/properties/128600942#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,1600000,0,2022,11-2022,45,22
116,116,https://www.rightmove.co.uk/properties/127496750#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,475000,0,2022,11-2022,45,22
117,117,https://www.rightmove.co.uk/properties/128634974#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,725000,0,2022,11-2022,45,22
